PAIS,ANO,DEWEY PRINCIPAL,DECILE_LABEL,DECILE_ORDER,IDIOMA_ORIGEN,CANTIDAD_OBRAS_IDIOMA,PROMEDIO_REGISTROS,DESVIACION_ESTANDAR,CANTIDAD_EDITORIALES
Argentina,2012,400 - Lenguas,30% - 40%,4,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2012,400 - Lenguas,40% - 50%,5,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2012,400 - Lenguas,50% - 60%,6,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2012,400 - Lenguas,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,4,4.0,0.0,1
Argentina,2012,500 - Ciencias naturales y matemáticas,10% - 20%,2,LENGUA NO DETERMINADA,2,2.0,0.0,1
Argentina,2012,500 - Ciencias naturales y matemáticas,20% - 30%,3,LENGUA NO DETERMINADA,2,2.0,0.0,1
Argentina,2012,500 - Ciencias naturales y matemáticas,30% - 40%,4,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2012,500 - Ciencias naturales y matemáticas,40% - 50%,5,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2012,500 - Ciencias naturales y matemáticas,50% - 60%,6,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2012,500 - Ciencias naturales y matemáticas,60% - 70%,7,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2012,500 - Ciencias naturales y matemáticas,70% - 80%,8,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2012,500 - Ciencias naturales y matemáticas,80% - 90%,9,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2012,500 - Ciencias naturales y matemáticas,Larga Cola,10,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2012,500 - Ciencias naturales y matemáticas,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,3,3.0,0.0,1
Argentina,2012,600 - Tecnología (Ciencias aplicadas),10% - 20%,2,LENGUA NO DETERMINADA,14,7.0,1.41,2
Argentina,2012,600 - Tecnología (Ciencias aplicadas),20% - 30%,3,LENGUA NO DETERMINADA,7,3.5,0.71,2
Argentina,2012,600 - Tecnología (Ciencias aplicadas),30% - 40%,4,LENGUA NO DETERMINADA,4,2.0,0.0,2
Argentina,2012,600 - Tecnología (Ciencias aplicadas),40% - 50%,5,LENGUA NO DETERMINADA,4,2.0,0.0,2
Argentina,2012,600 - Tecnología (Ciencias aplicadas),50% - 60%,6,LENGUA NO DETERMINADA,4,2.0,0.0,2
Argentina,2012,600 - Tecnología (Ciencias aplicadas),60% - 70%,7,LENGUA NO DETERMINADA,3,1.5,0.71,2
Argentina,2012,600 - Tecnología (Ciencias aplicadas),70% - 80%,8,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2012,600 - Tecnología (Ciencias aplicadas),80% - 90%,9,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2012,600 - Tecnología (Ciencias aplicadas),Larga Cola,10,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2012,600 - Tecnología (Ciencias aplicadas),Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,21,10.5,2.12,2
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,10% - 20%,2,LENGUA NO DETERMINADA,20,6.67,2.08,3
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,20% - 30%,3,LENGUA NO DETERMINADA,11,3.67,0.58,3
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,30% - 40%,4,LENGUA NO DETERMINADA,6,2.0,0.0,3
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,40% - 50%,5,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,50% - 60%,6,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,60% - 70%,7,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,70% - 80%,8,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,80% - 90%,9,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,Larga Cola,10,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2012,700 - Las Artes Bellas artes y artes decorativas,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,80,26.67,12.9,3
Argentina,2012,800 - Literatura y retórica,10% - 20%,2,LENGUA NO DETERMINADA,61,8.71,1.6,7
Argentina,2012,800 - Literatura y retórica,20% - 30%,3,LENGUA NO DETERMINADA,40,5.71,0.95,7
Argentina,2012,800 - Literatura y retórica,30% - 40%,4,LENGUA NO DETERMINADA,25,3.57,0.53,7
Argentina,2012,800 - Literatura y retórica,40% - 50%,5,LENGUA NO DETERMINADA,21,3.0,0.0,7
Argentina,2012,800 - Literatura y retórica,50% - 60%,6,LENGUA NO DETERMINADA,14,2.0,0.0,7
Argentina,2012,800 - Literatura y retórica,60% - 70%,7,LENGUA NO DETERMINADA,7,1.0,0.0,7
Argentina,2012,800 - Literatura y retórica,70% - 80%,8,LENGUA NO DETERMINADA,7,1.0,0.0,7
Argentina,2012,800 - Literatura y retórica,80% - 90%,9,LENGUA NO DETERMINADA,7,1.0,0.0,7
Argentina,2012,800 - Literatura y retórica,Larga Cola,10,LENGUA NO DETERMINADA,7,1.0,0.0,7
Argentina,2012,800 - Literatura y retórica,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,449,64.14,45.02,7
Argentina,2012,900 - Geografía e historia,10% - 20%,2,LENGUA NO DETERMINADA,6,3.0,1.41,2
Argentina,2012,900 - Geografía e historia,20% - 30%,3,LENGUA NO DETERMINADA,4,2.0,0.0,2
Argentina,2012,900 - Geografía e historia,30% - 40%,4,LENGUA NO DETERMINADA,4,2.0,0.0,2
Argentina,2012,900 - Geografía e historia,40% - 50%,5,LENGUA NO DETERMINADA,3,1.5,0.71,2
Argentina,2012,900 - Geografía e historia,50% - 60%,6,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2012,900 - Geografía e historia,60% - 70%,7,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2012,900 - Geografía e historia,70% - 80%,8,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2012,900 - Geografía e historia,80% - 90%,9,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2012,900 - Geografía e historia,Larga Cola,10,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2012,900 - Geografía e historia,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,14,7.0,0.0,2
Argentina,2012,SIN IDENTIFICAR,10% - 20%,2,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2012,SIN IDENTIFICAR,20% - 30%,3,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2012,SIN IDENTIFICAR,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,2,2.0,0.0,1
Argentina,2012,TODOS,10% - 20%,2,LENGUA NO DETERMINADA,138,8.62,1.78,16
Argentina,2012,TODOS,20% - 30%,3,LENGUA NO DETERMINADA,83,4.88,0.86,17
Argentina,2012,TODOS,30% - 40%,4,LENGUA NO DETERMINADA,51,3.19,0.4,16
Argentina,2012,TODOS,40% - 50%,5,LENGUA NO DETERMINADA,36,2.12,0.33,17
Argentina,2012,TODOS,50% - 60%,6,LENGUA NO DETERMINADA,23,1.44,0.51,16
Argentina,2012,TODOS,60% - 70%,7,LENGUA NO DETERMINADA,16,1.0,0.0,16
Argentina,2012,TODOS,70% - 80%,8,LENGUA NO DETERMINADA,17,1.0,0.0,17
Argentina,2012,TODOS,80% - 90%,9,LENGUA NO DETERMINADA,16,1.0,0.0,16
Argentina,2012,TODOS,Larga Cola,10,LENGUA NO DETERMINADA,17,1.0,0.0,17
Argentina,2012,TODOS,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,921,57.56,62.05,16
Argentina,2013,0 - Generalidades,10% - 20%,2,LENGUA NO DETERMINADA,2,2.0,0.0,1
Argentina,2013,0 - Generalidades,20% - 30%,3,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,0 - Generalidades,30% - 40%,4,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,0 - Generalidades,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,2,2.0,0.0,1
Argentina,2013,100 - Filosofía y psicología,10% - 20%,2,LENGUA NO DETERMINADA,27,6.75,2.22,4
Argentina,2013,100 - Filosofía y psicología,20% - 30%,3,LENGUA NO DETERMINADA,14,4.67,0.58,3
Argentina,2013,100 - Filosofía y psicología,30% - 40%,4,LENGUA NO DETERMINADA,12,3.0,0.0,4
Argentina,2013,100 - Filosofía y psicología,40% - 50%,5,LENGUA NO DETERMINADA,6,2.0,0.0,3
Argentina,2013,100 - Filosofía y psicología,50% - 60%,6,LENGUA NO DETERMINADA,5,1.25,0.5,4
Argentina,2013,100 - Filosofía y psicología,60% - 70%,7,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2013,100 - Filosofía y psicología,70% - 80%,8,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2013,100 - Filosofía y psicología,80% - 90%,9,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2013,100 - Filosofía y psicología,Larga Cola,10,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2013,100 - Filosofía y psicología,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,54,18.0,10.44,3
Argentina,2013,200 - Religión,10% - 20%,2,LENGUA NO DETERMINADA,19,4.75,1.26,4
Argentina,2013,200 - Religión,20% - 30%,3,LENGUA NO DETERMINADA,10,2.5,0.58,4
Argentina,2013,200 - Religión,30% - 40%,4,LENGUA NO DETERMINADA,5,1.25,0.5,4
Argentina,2013,200 - Religión,40% - 50%,5,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2013,200 - Religión,50% - 60%,6,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2013,200 - Religión,60% - 70%,7,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2013,200 - Religión,70% - 80%,8,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2013,200 - Religión,80% - 90%,9,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2013,200 - Religión,Larga Cola,10,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2013,200 - Religión,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,128,42.67,37.42,3
Argentina,2013,300 - Ciencias sociales,10% - 20%,2,LENGUA NO DETERMINADA,15,3.0,1.0,5
Argentina,2013,300 - Ciencias sociales,20% - 30%,3,LENGUA NO DETERMINADA,10,2.0,0.0,5
Argentina,2013,300 - Ciencias sociales,30% - 40%,4,LENGUA NO DETERMINADA,10,2.0,0.0,5
Argentina,2013,300 - Ciencias sociales,40% - 50%,5,LENGUA NO DETERMINADA,6,1.2,0.45,5
Argentina,2013,300 - Ciencias sociales,50% - 60%,6,LENGUA NO DETERMINADA,5,1.0,0.0,5
Argentina,2013,300 - Ciencias sociales,60% - 70%,7,LENGUA NO DETERMINADA,5,1.0,0.0,5
Argentina,2013,300 - Ciencias sociales,70% - 80%,8,LENGUA NO DETERMINADA,5,1.0,0.0,5
Argentina,2013,300 - Ciencias sociales,80% - 90%,9,LENGUA NO DETERMINADA,5,1.0,0.0,5
Argentina,2013,300 - Ciencias sociales,Larga Cola,10,LENGUA NO DETERMINADA,6,1.0,0.0,6
Argentina,2013,300 - Ciencias sociales,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,31,6.2,1.64,5
Argentina,2013,400 - Lenguas,10% - 20%,2,LENGUA NO DETERMINADA,2,2.0,0.0,1
Argentina,2013,400 - Lenguas,20% - 30%,3,LENGUA NO DETERMINADA,2,2.0,0.0,1
Argentina,2013,400 - Lenguas,30% - 40%,4,LENGUA NO DETERMINADA,2,2.0,0.0,1
Argentina,2013,400 - Lenguas,40% - 50%,5,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,400 - Lenguas,50% - 60%,6,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,400 - Lenguas,60% - 70%,7,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,400 - Lenguas,70% - 80%,8,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,400 - Lenguas,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,3,3.0,0.0,1
Argentina,2013,500 - Ciencias naturales y matemáticas,10% - 20%,2,LENGUA NO DETERMINADA,4,4.0,0.0,1
Argentina,2013,500 - Ciencias naturales y matemáticas,20% - 30%,3,LENGUA NO DETERMINADA,2,2.0,0.0,1
Argentina,2013,500 - Ciencias naturales y matemáticas,30% - 40%,4,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,500 - Ciencias naturales y matemáticas,40% - 50%,5,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,500 - Ciencias naturales y matemáticas,50% - 60%,6,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,500 - Ciencias naturales y matemáticas,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,5,5.0,0.0,1
Argentina,2013,600 - Tecnología (Ciencias aplicadas),10% - 20%,2,LENGUA NO DETERMINADA,10,3.33,0.58,3
Argentina,2013,600 - Tecnología (Ciencias aplicadas),20% - 30%,3,LENGUA NO DETERMINADA,6,2.0,0.0,3
Argentina,2013,600 - Tecnología (Ciencias aplicadas),30% - 40%,4,LENGUA NO DETERMINADA,4,2.0,0.0,2
Argentina,2013,600 - Tecnología (Ciencias aplicadas),40% - 50%,5,LENGUA NO DETERMINADA,6,2.0,0.0,3
Argentina,2013,600 - Tecnología (Ciencias aplicadas),50% - 60%,6,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2013,600 - Tecnología (Ciencias aplicadas),60% - 70%,7,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2013,600 - Tecnología (Ciencias aplicadas),70% - 80%,8,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2013,600 - Tecnología (Ciencias aplicadas),80% - 90%,9,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2013,600 - Tecnología (Ciencias aplicadas),Larga Cola,10,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2013,600 - Tecnología (Ciencias aplicadas),Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,11,5.5,2.12,2
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,10% - 20%,2,LENGUA NO DETERMINADA,15,5.0,1.0,3
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,20% - 30%,3,LENGUA NO DETERMINADA,8,2.67,0.58,3
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,30% - 40%,4,LENGUA NO DETERMINADA,5,1.67,0.58,3
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,40% - 50%,5,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,50% - 60%,6,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,60% - 70%,7,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,70% - 80%,8,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,80% - 90%,9,LENGUA NO DETERMINADA,3,1.0,0.0,3
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,Larga Cola,10,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2013,700 - Las Artes Bellas artes y artes decorativas,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,78,26.0,11.14,3
Argentina,2013,800 - Literatura y retórica,10% - 20%,2,LENGUA NO DETERMINADA,86,12.29,2.87,7
Argentina,2013,800 - Literatura y retórica,20% - 30%,3,LENGUA NO DETERMINADA,46,6.57,1.4,7
Argentina,2013,800 - Literatura y retórica,30% - 40%,4,LENGUA NO DETERMINADA,28,4.0,0.0,7
Argentina,2013,800 - Literatura y retórica,40% - 50%,5,LENGUA NO DETERMINADA,18,2.57,0.53,7
Argentina,2013,800 - Literatura y retórica,50% - 60%,6,LENGUA NO DETERMINADA,12,2.0,0.0,6
Argentina,2013,800 - Literatura y retórica,60% - 70%,7,LENGUA NO DETERMINADA,7,1.0,0.0,7
Argentina,2013,800 - Literatura y retórica,70% - 80%,8,LENGUA NO DETERMINADA,7,1.0,0.0,7
Argentina,2013,800 - Literatura y retórica,80% - 90%,9,LENGUA NO DETERMINADA,7,1.0,0.0,7
Argentina,2013,800 - Literatura y retórica,Larga Cola,10,LENGUA NO DETERMINADA,7,1.0,0.0,7
Argentina,2013,800 - Literatura y retórica,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,235,39.17,21.03,6
Argentina,2013,900 - Geografía e historia,10% - 20%,2,LENGUA NO DETERMINADA,13,6.5,0.71,2
Argentina,2013,900 - Geografía e historia,20% - 30%,3,LENGUA NO DETERMINADA,8,4.0,0.0,2
Argentina,2013,900 - Geografía e historia,30% - 40%,4,LENGUA NO DETERMINADA,5,2.5,0.71,2
Argentina,2013,900 - Geografía e historia,40% - 50%,5,LENGUA NO DETERMINADA,4,2.0,0.0,2
Argentina,2013,900 - Geografía e historia,50% - 60%,6,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,900 - Geografía e historia,60% - 70%,7,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2013,900 - Geografía e historia,70% - 80%,8,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2013,900 - Geografía e historia,80% - 90%,9,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2013,900 - Geografía e historia,Larga Cola,10,LENGUA NO DETERMINADA,2,1.0,0.0,2
Argentina,2013,900 - Geografía e historia,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,8,8.0,0.0,1
Argentina,2013,SIN IDENTIFICAR,10% - 20%,2,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,SIN IDENTIFICAR,20% - 30%,3,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,SIN IDENTIFICAR,30% - 40%,4,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,SIN IDENTIFICAR,40% - 50%,5,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,SIN IDENTIFICAR,50% - 60%,6,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2013,SIN IDENTIFICAR,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,2,2.0,0.0,1
Argentina,2013,TODOS,10% - 20%,2,LENGUA NO DETERMINADA,151,8.39,2.75,18
Argentina,2013,TODOS,20% - 30%,3,LENGUA NO DETERMINADA,89,4.94,0.87,18
Argentina,2013,TODOS,30% - 40%,4,LENGUA NO DETERMINADA,48,2.67,0.59,18
Argentina,2013,TODOS,40% - 50%,5,LENGUA NO DETERMINADA,38,2.0,0.0,19
Argentina,2013,TODOS,50% - 60%,6,LENGUA NO DETERMINADA,19,1.06,0.24,18
Argentina,2013,TODOS,60% - 70%,7,LENGUA NO DETERMINADA,18,1.0,0.0,18
Argentina,2013,TODOS,70% - 80%,8,LENGUA NO DETERMINADA,18,1.0,0.0,18
Argentina,2013,TODOS,80% - 90%,9,LENGUA NO DETERMINADA,18,1.0,0.0,18
Argentina,2013,TODOS,Larga Cola,10,LENGUA NO DETERMINADA,19,1.0,0.0,19
Argentina,2013,TODOS,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,715,39.72,25.67,18
Argentina,2014,0 - Generalidades,10% - 20%,2,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2014,0 - Generalidades,20% - 30%,3,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2014,0 - Generalidades,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,1,1.0,0.0,1
Argentina,2014,100 - Filosofía y psicología,10% - 20%,2,LENGUA NO DETERMINADA,24,6.0,1.15,4
Argentina,2014,100 - Filosofía y psicología,20% - 30%,3,LENGUA NO DETERMINADA,14,3.5,1.0,4
Argentina,2014,100 - Filosofía y psicología,30% - 40%,4,LENGUA NO DETERMINADA,9,2.25,0.5,4
Argentina,2014,100 - Filosofía y psicología,40% - 50%,5,LENGUA NO DETERMINADA,5,1.0,0.0,5
Argentina,2014,100 - Filosofía y psicología,50% - 60%,6,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2014,100 - Filosofía y psicología,60% - 70%,7,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2014,100 - Filosofía y psicología,70% - 80%,8,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2014,100 - Filosofía y psicología,80% - 90%,9,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2014,100 - Filosofía y psicología,Larga Cola,10,LENGUA NO DETERMINADA,5,1.0,0.0,5
Argentina,2014,100 - Filosofía y psicología,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,84,21.0,3.74,4
Argentina,2014,200 - Religión,10% - 20%,2,LENGUA NO DETERMINADA,40,10.0,4.69,4
Argentina,2014,200 - Religión,20% - 30%,3,LENGUA NO DETERMINADA,16,4.0,0.82,4
Argentina,2014,200 - Religión,30% - 40%,4,LENGUA NO DETERMINADA,10,2.5,0.58,4
Argentina,2014,200 - Religión,40% - 50%,5,LENGUA NO DETERMINADA,8,2.0,0.0,4
Argentina,2014,200 - Religión,50% - 60%,6,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2014,200 - Religión,60% - 70%,7,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2014,200 - Religión,70% - 80%,8,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2014,200 - Religión,80% - 90%,9,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2014,200 - Religión,Larga Cola,10,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2014,200 - Religión,Top 10% (Grandes Motores),1,LENGUA NO DETERMINADA,96,32.0,19.97,3
Argentina,2014,300 - Ciencias sociales,10% - 20%,2,LENGUA NO DETERMINADA,9,2.25,0.5,4
Argentina,2014,300 - Ciencias sociales,20% - 30%,3,LENGUA NO DETERMINADA,8,2.0,0.0,4
Argentina,2014,300 - Ciencias sociales,30% - 40%,4,LENGUA NO DETERMINADA,9,1.8,0.45,5
Argentina,2014,300 - Ciencias sociales,40% - 50%,5,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2014,300 - Ciencias sociales,50% - 60%,6,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2014,300 - Ciencias sociales,60% - 70%,7,LENGUA NO DETERMINADA,5,1.0,0.0,5
Argentina,2014,300 - Ciencias sociales,70% - 80%,8,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2014,300 - Ciencias sociales,80% - 90%,9,LENGUA NO DETERMINADA,4,1.0,0.0,4
Argentina,2014,300 - Ciencias sociales,Larga Cola,10,LENGUA NO DETERMINADA,5,1.0,0.0,5
